id,companyName,companyNameKana,industryCode,industryName,prefecture,city,establishedYear,employees,scale,revenueMillionYen,businessDescription,website,demandSignal,demandSignalDetail,registeredActivity,challengeTitle,challengeDetail,challengeCategory,challengeUrgency,seekingProposals,targetDepartment,targetRole,salesScore,existingCustomer,approachStatus,createdAt,fictional,disclaimer
"FC-00011","合同会社プライムアグリソリューションズ","合同会社 プライム アグリ ソリューションズ","agriculture","農業・林業","鳥取県","文化市","2008","1407","大企業","30954","農産物の生産・加工・流通","https://example.invalid/agriculture/011","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","人員採用の拡大","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","事業開発","高","true","生産管理部","部長","62","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00012","株式会社プライムアグリパートナーズ","株式会社 プライム アグリ パートナーズ","agriculture","農業・林業","愛媛県","産業市","2019","38","小規模","874","温室・農業施設の管理","https://example.invalid/agriculture/012","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","既存施設の改修","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","安全・品質","低","true","生産管理部","課長","79","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00013","合同会社プライムアグリワークス","合同会社 プライム アグリ ワークス","agriculture","農業・林業","宮崎県","学園市","1962","281","中小企業","6744","スマート農業設備の運営","https://example.invalid/agriculture/013","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","事業エリアの拡大","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","DX・IT","中","true","生産管理部","責任者","96","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00014","株式会社プライムアグリグループ","株式会社 プライム アグリ グループ","agriculture","農業・林業","秋田県","泉市","1973","818","中堅企業","20450","農産物の生産・加工・流通","https://example.invalid/agriculture/014","在庫差異と配送負担を減らしたい","在庫状況の把握に時間がかかっており、入出庫と配送計画を改善する提案を募集しています。","DX推進組織の新設","在庫差異と配送負担を減らしたい","在庫状況の把握に時間がかかっており、入出庫と配送計画を改善する提案を募集しています。","物流・在庫","高","true","生産管理部","企画担当","68","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00015","合同会社プライムアグリコーポレーション","合同会社 プライム アグリ コーポレーション","agriculture","農業・林業","千葉県","丘陵市","1984","1555","大企業","40430","温室・農業施設の管理","https://example.invalid/agriculture/015","エネルギー・運用費を削減したい","拠点運営費が増加しているため、効果を測定できる省エネ・コスト削減策を求めています。","安全管理方針の強化","エネルギー・運用費を削減したい","拠点運営費が増加しているため、効果を測定できる省エネ・コスト削減策を求めています。","コスト削減","低","true","生産管理部","部長","85","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00016","株式会社オルビスアグリソリューションズ","株式会社 オルビス アグリ ソリューションズ","agriculture","農業・林業","山梨県","未来市","1995","34","小規模","918","スマート農業設備の運営","https://example.invalid/agriculture/016","設備の老朽化と保守負担を減らしたい","既存設備の故障と保守工数が増えており、更新計画と運用改善を一緒に提案できる企業を探しています。","業務提携の締結","設備の老朽化と保守負担を減らしたい","既存設備の故障と保守工数が増えており、更新計画と運用改善を一緒に提案できる企業を探しています。","設備・施設","中","true","生産管理部","課長","57","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00017","合同会社オルビスアグリパートナーズ","合同会社 オルビス アグリ パートナーズ","agriculture","農業・林業","京都府","中央市","2006","179","中小企業","5012","農産物の生産・加工・流通","https://example.invalid/agriculture/017","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","設備更新予算の増額","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","営業・顧客管理","高","true","生産管理部","責任者","74","true","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00018","株式会社オルビスアグリワークス","株式会社 オルビス アグリ ワークス","agriculture","農業・林業","岡山県","緑市","2017","966","中堅企業","28014","温室・農業施設の管理","https://example.invalid/agriculture/018","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","省エネ投資の開始","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","人材・労務","低","true","生産管理部","企画担当","91","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00019","合同会社オルビスアグリグループ","合同会社 オルビス アグリ グループ","agriculture","農業・林業","福岡県","さくら市","1960","1703","大企業","18733","スマート農業設備の運営","https://example.invalid/agriculture/019","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","新サービスの発表","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","事業開発","中","true","生産管理部","部長","63","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00020","株式会社オルビスアグリコーポレーション","株式会社 オルビス アグリ コーポレーション","agriculture","農業・林業","沖縄県","ひかり市","1971","30","小規模","360","農産物の生産・加工・流通","https://example.invalid/agriculture/020","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","新拠点の開設計画","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","安全・品質","高","true","生産管理部","課長","80","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00021","合同会社ノヴァアグリソリューションズ","合同会社 ノヴァ アグリ ソリューションズ","agriculture","農業・林業","福島県","あおば市","1982","77","中小企業","1001","温室・農業施設の管理","https://example.invalid/agriculture/021","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","人員採用の拡大","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","DX・IT","低","true","生産管理部","責任者","97","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00022","株式会社ノヴァアグリパートナーズ","株式会社 ノヴァ アグリ パートナーズ","agriculture","農業・林業","神奈川県","若葉市","1993","414","中堅企業","5796","スマート農業設備の運営","https://example.invalid/agriculture/022","在庫差異と配送負担を減らしたい","在庫状況の把握に時間がかかっており、入出庫と配送計画を改善する提案を募集しています。","既存施設の改修","在庫差異と配送負担を減らしたい","在庫状況の把握に時間がかかっており、入出庫と配送計画を改善する提案を募集しています。","物流・在庫","中","true","生産管理部","企画担当","69","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00023","合同会社ノヴァアグリワークス","合同会社 ノヴァ アグリ ワークス","agriculture","農業・林業","岐阜県","豊栄市","2004","1851","大企業","27765","農産物の生産・加工・流通","https://example.invalid/agriculture/023","エネルギー・運用費を削減したい","拠点運営費が増加しているため、効果を測定できる省エネ・コスト削減策を求めています。","事業エリアの拡大","エネルギー・運用費を削減したい","拠点運営費が増加しているため、効果を測定できる省エネ・コスト削減策を求めています。","コスト削減","高","true","生産管理部","部長","86","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00024","株式会社ノヴァアグリグループ","株式会社 ノヴァ アグリ グループ","agriculture","農業・林業","兵庫県","清流市","2015","26","小規模","416","温室・農業施設の管理","https://example.invalid/agriculture/024","設備の老朽化と保守負担を減らしたい","既存設備の故障と保守工数が増えており、更新計画と運用改善を一緒に提案できる企業を探しています。","DX推進組織の新設","設備の老朽化と保守負担を減らしたい","既存設備の故障と保守工数が増えており、更新計画と運用改善を一緒に提案できる企業を探しています。","設備・施設","低","true","生産管理部","課長","58","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00025","合同会社ノヴァアグリコーポレーション","合同会社 ノヴァ アグリ コーポレーション","agriculture","農業・林業","山口県","旭市","1958","225","中小企業","3825","スマート農業設備の運営","https://example.invalid/agriculture/025","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","安全管理方針の強化","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","営業・顧客管理","中","true","生産管理部","責任者","75","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00026","株式会社ユニゾンアグリソリューションズ","株式会社 ユニゾン アグリ ソリューションズ","agriculture","農業・林業","長崎県","みなと市","1969","562","中堅企業","10116","農産物の生産・加工・流通","https://example.invalid/agriculture/026","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","業務提携の締結","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","人材・労務","高","true","生産管理部","企画担当","92","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00027","合同会社ユニゾンアグリパートナーズ","合同会社 ユニゾン アグリ パートナーズ","agriculture","農業・林業","青森県","高台市","1980","1999","大企業","37981","温室・農業施設の管理","https://example.invalid/agriculture/027","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","設備更新予算の増額","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","事業開発","低","true","生産管理部","部長","64","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00028","株式会社ユニゾンアグリワークス","株式会社 ユニゾン アグリ ワークス","agriculture","農業・林業","栃木県","新生市","1991","22","小規模","440","スマート農業設備の運営","https://example.invalid/agriculture/028","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","省エネ投資の開始","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","安全・品質","中","true","生産管理部","課長","81","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00029","合同会社ユニゾンアグリグループ","合同会社 ユニゾン アグリ グループ","agriculture","農業・林業","富山県","平和市","2002","123","中小企業","2583","農産物の生産・加工・流通","https://example.invalid/agriculture/029","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","新サービスの発表","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","DX・IT","高","true","生産管理部","責任者","98","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00030","株式会社ユニゾンアグリコーポレーション","株式会社 ユニゾン アグリ コーポレーション","agriculture","農業・林業","愛知県","希望市","2013","710","中堅企業","15620","温室・農業施設の管理","https://example.invalid/agriculture/030","在庫差異と配送負担を減らしたい","在庫状況の把握に時間がかかっており、入出庫と配送計画を改善する提案を募集しています。","新拠点の開設計画","在庫差異と配送負担を減らしたい","在庫状況の把握に時間がかかっており、入出庫と配送計画を改善する提案を募集しています。","物流・在庫","低","true","生産管理部","企画担当","70","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00031","合同会社ヴェリタスアグリソリューションズ","合同会社 ヴェリタス アグリ ソリューションズ","agriculture","農業・林業","和歌山県","文化市","1956","2147","大企業","49381","スマート農業設備の運営","https://example.invalid/agriculture/031","エネルギー・運用費を削減したい","拠点運営費が増加しているため、効果を測定できる省エネ・コスト削減策を求めています。","人員採用の拡大","エネルギー・運用費を削減したい","拠点運営費が増加しているため、効果を測定できる省エネ・コスト削減策を求めています。","コスト削減","中","true","生産管理部","部長","87","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00032","株式会社ヴェリタスアグリパートナーズ","株式会社 ヴェリタス アグリ パートナーズ","agriculture","農業・林業","香川県","産業市","1967","18","小規模","432","農産物の生産・加工・流通","https://example.invalid/agriculture/032","設備の老朽化と保守負担を減らしたい","既存設備の故障と保守工数が増えており、更新計画と運用改善を一緒に提案できる企業を探しています。","既存施設の改修","設備の老朽化と保守負担を減らしたい","既存設備の故障と保守工数が増えており、更新計画と運用改善を一緒に提案できる企業を探しています。","設備・施設","高","true","生産管理部","課長","59","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00033","合同会社ヴェリタスアグリワークス","合同会社 ヴェリタス アグリ ワークス","agriculture","農業・林業","大分県","学園市","1978","271","中小企業","6775","温室・農業施設の管理","https://example.invalid/agriculture/033","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","事業エリアの拡大","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","営業・顧客管理","低","true","生産管理部","責任者","76","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00034","株式会社ヴェリタスアグリグループ","株式会社 ヴェリタス アグリ グループ","agriculture","農業・林業","宮城県","泉市","1989","858","中堅企業","22308","スマート農業設備の運営","https://example.invalid/agriculture/034","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","DX推進組織の新設","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","人材・労務","中","true","生産管理部","企画担当","93","true","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00035","合同会社ヴェリタスアグリコーポレーション","合同会社 ヴェリタス アグリ コーポレーション","agriculture","農業・林業","埼玉県","丘陵市","2000","2295","大企業","61965","農産物の生産・加工・流通","https://example.invalid/agriculture/035","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","安全管理方針の強化","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","事業開発","高","true","生産管理部","部長","65","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00036","株式会社セントラルアグリソリューションズ","株式会社 セントラル アグリ ソリューションズ","agriculture","農業・林業","福井県","未来市","2011","14","小規模","392","温室・農業施設の管理","https://example.invalid/agriculture/036","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","業務提携の締結","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","安全・品質","低","true","生産管理部","課長","82","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00037","合同会社セントラルアグリパートナーズ","合同会社 セントラル アグリ パートナーズ","agriculture","農業・林業","滋賀県","中央市","2022","169","中小企業","4901","スマート農業設備の運営","https://example.invalid/agriculture/037","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","設備更新予算の増額","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","DX・IT","中","true","生産管理部","責任者","99","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00038","株式会社セントラルアグリワークス","株式会社 セントラル アグリ ワークス","agriculture","農業・林業","島根県","緑市","1965","306","中堅企業","3366","農産物の生産・加工・流通","https://example.invalid/agriculture/038","在庫差異と配送負担を減らしたい","在庫状況の把握に時間がかかっており、入出庫と配送計画を改善する提案を募集しています。","省エネ投資の開始","在庫差異と配送負担を減らしたい","在庫状況の把握に時間がかかっており、入出庫と配送計画を改善する提案を募集しています。","物流・在庫","高","true","生産管理部","企画担当","71","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00039","合同会社セントラルアグリグループ","合同会社 セントラル アグリ グループ","agriculture","農業・林業","高知県","さくら市","1976","2443","大企業","29316","温室・農業施設の管理","https://example.invalid/agriculture/039","エネルギー・運用費を削減したい","拠点運営費が増加しているため、効果を測定できる省エネ・コスト削減策を求めています。","新サービスの発表","エネルギー・運用費を削減したい","拠点運営費が増加しているため、効果を測定できる省エネ・コスト削減策を求めています。","コスト削減","低","true","生産管理部","部長","88","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00040","株式会社セントラルアグリコーポレーション","株式会社 セントラル アグリ コーポレーション","agriculture","農業・林業","鹿児島県","ひかり市","1987","48","小規模","624","スマート農業設備の運営","https://example.invalid/agriculture/040","設備の老朽化と保守負担を減らしたい","既存設備の故障と保守工数が増えており、更新計画と運用改善を一緒に提案できる企業を探しています。","新拠点の開設計画","設備の老朽化と保守負担を減らしたい","既存設備の故障と保守工数が増えており、更新計画と運用改善を一緒に提案できる企業を探しています。","設備・施設","中","true","生産管理部","課長","60","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00041","合同会社エレメントアグリソリューションズ","合同会社 エレメント アグリ ソリューションズ","agriculture","農業・林業","山形県","あおば市","1998","67","中小企業","938","農産物の生産・加工・流通","https://example.invalid/agriculture/041","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","人員採用の拡大","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","営業・顧客管理","高","true","生産管理部","責任者","77","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00042","株式会社エレメントアグリパートナーズ","株式会社 エレメント アグリ パートナーズ","agriculture","農業・林業","東京都","若葉市","2009","454","中堅企業","6810","温室・農業施設の管理","https://example.invalid/agriculture/042","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","既存施設の改修","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","人材・労務","低","true","生産管理部","企画担当","94","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00043","合同会社エレメントアグリワークス","合同会社 エレメント アグリ ワークス","agriculture","農業・林業","長野県","豊栄市","2020","2591","大企業","41456","スマート農業設備の運営","https://example.invalid/agriculture/043","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","事業エリアの拡大","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","事業開発","中","true","生産管理部","部長","66","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00044","株式会社エレメントアグリグループ","株式会社 エレメント アグリ グループ","agriculture","農業・林業","大阪府","清流市","1963","44","小規模","748","農産物の生産・加工・流通","https://example.invalid/agriculture/044","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","DX推進組織の新設","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","安全・品質","高","true","生産管理部","課長","83","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00045","合同会社エレメントアグリコーポレーション","合同会社 エレメント アグリ コーポレーション","agriculture","農業・林業","広島県","旭市","1974","215","中小企業","3870","温室・農業施設の管理","https://example.invalid/agriculture/045","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","安全管理方針の強化","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","DX・IT","低","true","生産管理部","責任者","55","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
